iter	Passed	Remaining
414	3331	157201
415	3338	157175
416	3346	157145
417	3353	157098
418	3360	157048
419	3367	157008
420	3375	156969
421	3382	156948
422	3390	156922
423	3397	156864
424	3404	156813
425	3411	156774
426	3419	156736
427	3426	156697
428	3435	156715
429	3443	156719
430	3452	156743
431	3460	156726
432	3467	156714
433	3475	156690
434	3484	156733
435	3493	156758
436	3501	156730
437	3509	156757
438	3518	156785
439	3526	156753
440	3533	156722
441	3541	156717
442	3550	156729
443	3557	156701
444	3564	156656
445	3572	156629
446	3580	156625
447	3587	156585
448	3595	156569
449	3603	156554
450	3611	156565
451	3620	156575
452	3627	156548
453	3636	156563
454	3645	156581
455	3652	156565
456	3660	156556
457	3668	156541
458	3677	156548
459	3684	156520
460	3692	156497
461	3700	156488
462	3707	156428
463	3714	156406
464	3722	156374
465	3729	156352
466	3737	156308
467	3744	156278
468	3752	156259
469	3758	156196
470	3765	156135
471	3772	156082
472	3779	156040
473	3786	155995
474	3794	155955
475	3800	155889
476	3807	155851
477	3815	155830
478	3822	155776
479	3829	155721
480	3836	155678
481	3843	155635
482	3850	155588
483	3857	155544
484	3864	155495
485	3871	155446
486	3879	155433
487	3887	155424
488	3894	155372
489	3901	155329
490	3908	155299
491	3915	155268
492	3922	155214
493	3929	155175
494	3936	155119
495	3944	155101
496	3951	155063
497	3958	155025
498	3965	154982
499	3972	154937
500	3980	154914
501	3987	154863
502	3994	154832
503	4001	154786
504	4009	154775
505	4016	154723
506	4023	154676
507	4029	154622
508	4036	154573
509	4044	154560
510	4051	154524
511	4058	154473
512	4065	154438
513	4072	154399
514	4080	154395
515	4088	154369
516	4094	154313
517	4101	154262
518	4109	154235
519	4116	154207
520	4123	154161
521	4130	154110
522	4137	154074
523	4145	154077
524	4153	154064
525	4160	154024
526	4167	153983
527	4174	153961
528	4182	153936
529	4190	153938
530	4197	153899
531	4205	153889
532	4212	153869
533	4219	153829
534	4227	153808
535	4234	153776
536	4242	153755
537	4249	153741
538	4256	153692
539	4264	153681
540	4272	153659
541	4280	153661
542	4287	153647
543	4295	153639
544	4303	153617
545	4311	153627
546	4319	153609
547	4326	153580
548	4334	153554
549	4342	153577
550	4350	153554
551	4357	153509
552	4364	153473
553	4371	153439
554	4378	153417
555	4386	153399
556	4393	153363
557	4400	153324
558	4408	153315
559	4415	153290
560	4422	153247
561	4430	153239
562	4438	153251
563	4446	153240
564	4454	153218
565	4461	153199
566	4468	153156
567	4476	153156
568	4484	153127
569	4490	153081
570	4498	153073
571	4506	153051
572	4513	153020
573	4521	153027
574	4529	153003
575	4537	152998
576	4545	153002
577	4552	152970
578	4559	152946
579	4566	152909
580	4574	152889
581	4581	152868
582	4589	152864
583	4597	152853
584	4605	152849
585	4612	152818
586	4620	152815
587	4628	152816
588	4636	152797
589	4644	152799
590	4651	152774
591	4658	152724
592	4665	152691
593	4673	152672
594	4680	152650
595	4687	152615
596	4694	152583
597	4702	152566
598	4710	152564
599	4717	152524
600	4724	152486
601	4731	152447
602	4738	152433
603	4745	152405
604	4752	152364
605	4759	152334
606	4766	152292
607	4774	152272
608	4781	152233
609	4788	152201
610	4795	152163
611	4802	152130
612	4810	152125
613	4816	152081
614	4823	152039
615	4830	151994
616	4837	151976
617	4844	151944
618	4851	151907
619	4858	151871
620	4865	151843
621	4873	151833
622	4880	151804
623	4887	151760
624	4894	151732
625	4901	151686
626	4908	151657
627	4916	151644
628	4923	151620
629	4930	151597
630	4939	151618
631	4946	151578
632	4952	151539
633	4959	151506
634	4967	151473
635	4975	151472
636	4981	151438
637	4989	151408
638	4995	151368
639	5003	151364
640	5011	151342
641	5018	151317
642	5025	151297
643	5033	151288
644	5040	151260
645	5047	151228
646	5054	151185
647	5061	151155
648	5068	151136
649	5075	151107
650	5083	151080
651	5090	151046
652	5097	151021
653	5104	151008
654	5111	150974
655	5118	150928
656	5125	150911
657	5133	150888
658	5141	150887
659	5148	150858
660	5155	150823
661	5162	150805
662	5169	150783
663	5176	150753
664	5184	150739
665	5191	150713
666	5198	150674
667	5205	150650
668	5212	150625
669	5219	150598
670	5226	150561
671	5234	150545
672	5241	150515
673	5248	150479
674	5254	150447
675	5261	150412
676	5268	150386
677	5275	150350
678	5283	150335
679	5290	150303
680	5297	150278
681	5304	150254
682	5311	150234
683	5318	150204
684	5326	150190
685	5334	150177
686	5340	150141
687	5347	150104
688	5354	150079
689	5361	150050
690	5369	150048
691	5376	150015
692	5383	149981
693	5390	149966
694	5397	149928
695	5404	149906
696	5412	149884
697	5418	149851
698	5425	149818
699	5433	149809
700	5440	149775
701	5447	149759
702	5454	149728
703	5461	149698
704	5468	149679
705	5475	149647
706	5482	149611
707	5489	149580
708	5496	149558
709	5504	149546
710	5511	149517
711	5518	149485
712	5525	149474
713	5533	149454
714	5540	149426
715	5547	149400
716	5554	149374
717	5561	149351
718	5569	149340
719	5576	149314
720	5582	149280
721	5589	149251
722	5596	149218
723	5603	149199
724	5610	149170
725	5617	149138
726	5624	149109
727	5632	149102
728	5639	149074
729	5646	149055
730	5654	149058
731	5662	149037
732	5669	149033
733	5676	149005
734	5684	148983
735	5691	148959
736	5698	148952
737	5705	148922
738	5712	148893
739	5719	148864
740	5726	148838
741	5733	148821
742	5740	148793
743	5747	148760
744	5754	148723
745	5760	148687
746	5768	148677
747	5775	148655
748	5782	148622
749	5789	148592
750	5796	148569
751	5803	148556
752	5811	148544
753	5818	148521
754	5825	148490
755	5833	148481
756	5840	148453
757	5847	148439
758	5854	148411
759	5861	148385
760	5869	148385
761	5876	148365
762	5883	148336
763	5890	148312
764	5898	148306
765	5905	148281
766	5912	148253
767	5919	148226
768	5926	148205
769	5933	148191
770	5941	148172
771	5947	148143
772	5954	148113
773	5961	148087
774	5968	148068
775	5975	148041
776	5983	148029
777	5990	148008
778	5997	147993
779	6004	147962
780	6011	147932
781	6018	147904
782	6025	147878
783	6033	147875
784	6040	147856
785	6047	147829
786	6054	147813
787	6062	147806
788	6069	147785
789	6076	147756
790	6083	147727
791	6090	147716
792	6098	147709
793	6105	147685
794	6112	147660
795	6119	147631
796	6126	147602
797	6133	147589
798	6140	147567
799	6148	147555
800	6154	147526
801	6162	147516
802	6169	147498
803	6176	147478
804	6183	147451
805	6191	147433
806	6198	147427
807	6205	147404
808	6213	147385
809	6219	147357
810	6227	147344
811	6235	147345
812	6242	147323
813	6249	147311
814	6256	147288
815	6264	147277
816	6271	147256
817	6278	147232
818	6285	147210
819	6292	147189
820	6300	147171
821	6306	147146
822	6314	147129
823	6320	147098
824	6328	147092
825	6335	147072
826	6343	147065
827	6351	147056
828	6359	147062
829	6368	147090
830	6376	147089
831	6383	147074
832	6392	147081
833	6400	147082
834	6407	147068
835	6415	147059
836	6422	147044
837	6431	147054
838	6438	147040
839	6446	147032
840	6453	147024
841	6461	147023
842	6469	147019
843	6476	146995
844	6484	146987
845	6491	146978
846	6500	146994
847	6507	146980
848	6515	146973
849	6523	146961
850	6531	146980
851	6540	146983
852	6548	146986
853	6555	146979
854	6563	146977
855	6571	146967
856	6579	146962
857	6586	146949
858	6594	146945
859	6601	146930
860	6609	146922
861	6617	146913
862	6624	146893
863	6632	146901
864	6640	146891
865	6647	146874
866	6654	146856
867	6661	146835
868	6669	146825
869	6676	146797
870	6683	146774
871	6690	146752
872	6697	146741
873	6705	146727
874	6711	146702
875	6718	146672
876	6725	146656
877	6733	146638
878	6739	146610
879	6746	146580
880	6753	146560
881	6761	146550
882	6768	146532
883	6775	146507
884	6781	146481
885	6788	146457
886	6796	146446
887	6803	146426
888	6810	146408
889	6817	146388
890	6825	146382
891	6832	146353
892	6839	146335
893	6846	146312
894	6853	146287
895	6861	146290
896	6868	146280
897	6876	146273
898	6884	146282
899	6892	146283
900	6901	146287
901	6909	146284
902	6917	146286
903	6925	146294
904	6933	146295
905	6941	146287
906	6948	146277
907	6956	146276
908	6964	146266
909	6971	146251
910	6978	146235
911	6986	146216
912	6993	146205
913	7000	146190
914	7008	146188
915	7016	146173
916	7023	146165
917	7031	146152
918	7038	146135
919	7045	146122
920	7052	146102
921	7060	146096
922	7067	146078
923	7074	146062
924	7082	146056
925	7090	146052
926	7097	146040
927	7105	146027
928	7113	146037
929	7121	146026
930	7129	146025
931	7136	146013
932	7143	145994
933	7150	145973
934	7158	145960
935	7165	145949
936	7172	145927
937	7179	145910
938	7186	145887
939	7194	145882
940	7201	145863
941	7209	145849
942	7216	145839
943	7223	145824
944	7231	145815
945	7238	145794
946	7245	145769
947	7251	145740
948	7259	145732
949	7266	145708
950	7272	145681
951	7279	145652
952	7286	145639
953	7294	145632
954	7301	145615
955	7308	145597
956	7316	145580
957	7324	145580
958	7331	145567
959	7338	145551
960	7345	145533
961	7352	145512
962	7360	145503
963	7367	145485
964	7374	145465
965	7381	145448
966	7389	145450
967	7397	145434
968	7404	145419
969	7411	145403
970	7418	145380
971	7426	145376
972	7433	145357
973	7440	145336
974	7447	145317
975	7455	145315
976	7462	145299
977	7469	145276
978	7476	145263
979	7483	145249
980	7491	145241
981	7498	145226
982	7505	145207
983	7513	145193
984	7520	145187
985	7528	145173
986	7535	145153
987	7542	145135
988	7549	145123
989	7557	145113
990	7564	145098
991	7571	145073
992	7578	145069
993	7586	145057
994	7594	145057
995	7601	145039
996	7607	145008
997	7615	144995
998	7622	144988
999	7630	144980
1000	7637	144968
1001	7645	144953
1002	7652	144935
1003	7660	144930
1004	7667	144915
1005	7674	144895
1006	7681	144883
1007	7689	144876
1008	7696	144863
1009	7703	144845
1010	7710	144829
1011	7717	144809
1012	7725	144806
1013	7732	144782
1014	7739	144763
1015	7746	144752
1016	7754	144742
1017	7761	144730
1018	7769	144723
1019	7776	144706
1020	7783	144691
1021	7791	144684
1022	7798	144661
1023	7805	144649
1024	7813	144647
1025	7821	144637
1026	7829	144643
1027	7836	144626
1028	7843	144609
1029	7852	144629
1030	7860	144623
1031	7868	144628
1032	7875	144604
1033	7882	144587
1034	7890	144585
1035	7898	144573
1036	7905	144561
1037	7912	144550
1038	7920	144539
1039	7927	144520
1040	7934	144502
1041	7941	144486
1042	7949	144478
1043	7957	144476
1044	7964	144461
1045	7971	144453
1046	7978	144433
1047	7987	144436
1048	7994	144422
1049	8000	144395
1050	8007	144374
1051	8014	144357
1052	8022	144345
1053	8029	144326
1054	8036	144315
1055	8043	144297
1056	8051	144293
1057	8058	144281
1058	8065	144261
1059	8072	144236
1060	8079	144214
1061	8086	144209
1062	8094	144198
1063	8101	144176
1064	8108	144157
1065	8115	144139
1066	8122	144131
1067	8129	144112
1068	8136	144091
1069	8143	144077
1070	8151	144070
1071	8158	144057
1072	8165	144034
1073	8172	144007
1074	8178	143986
1075	8186	143975
1076	8193	143957
1077	8200	143934
1078	8207	143915
1079	8213	143892
1080	8221	143883
1081	8228	143874
1082	8235	143858
1083	8243	143848
1084	8250	143841
1085	8258	143824
1086	8265	143810
1087	8272	143792
1088	8279	143771
1089	8287	143772
1090	8294	143750
1091	8300	143727
1092	8307	143707
1093	8314	143693
1094	8322	143691
1095	8329	143669
1096	8336	143649
1097	8343	143631
1098	8350	143621
1099	8358	143607
1100	8364	143587
1101	8371	143567
1102	8378	143552
1103	8387	143551
1104	8394	143534
1105	8401	143519
1106	8408	143502
1107	8416	143498
1108	8423	143486
1109	8430	143467
1110	8436	143443
1111	8443	143424
1112	8451	143416
1113	8458	143398
1114	8465	143389
1115	8472	143370
1116	8479	143346
1117	8487	143338
1118	8493	143318
1119	8501	143303
1120	8508	143289
1121	8515	143277
1122	8522	143259
1123	8529	143236
1124	8536	143216
1125	8542	143195
1126	8550	143182
1127	8557	143166
1128	8563	143144
1129	8571	143144
1130	8579	143141
1131	8587	143137
1132	8594	143120
1133	8601	143107
1134	8608	143088
1135	8616	143081
1136	8623	143066
1137	8630	143048
1138	8637	143035
1139	8644	143017
1140	8652	143017
1141	8660	143008
1142	8667	143001
1143	8675	142987
1144	8682	142982
1145	8690	142977
1146	8697	142962
1147	8705	142954
1148	8712	142938
1149	8719	142931
1150	8727	142917
1151	8733	142895
1152	8740	142875
1153	8748	142869
1154	8755	142851
1155	8762	142832
1156	8769	142815
1157	8776	142800
1158	8783	142794
1159	8791	142777
1160	8797	142760
1161	8805	142744
1162	8812	142732
1163	8819	142722
1164	8827	142717
1165	8834	142702
1166	8841	142685
1167	8848	142674
1168	8856	142659
1169	8862	142637
1170	8869	142615
1171	8876	142600
1172	8884	142591
1173	8890	142573
1174	8897	142554
1175	8904	142534
1176	8913	142540
1177	8921	142539
1178	8927	142517
1179	8934	142496
1180	8942	142490
1181	8949	142478
1182	8956	142462
1183	8963	142445
1184	8970	142431
1185	8977	142420
1186	8985	142413
1187	8992	142399
1188	8999	142376
1189	9006	142357
1190	9013	142351
1191	9021	142342
1192	9028	142334
1193	9036	142323
1194	9043	142310
1195	9050	142299
1196	9057	142286
1197	9065	142272
1198	9071	142253
1199	9079	142244
1200	9086	142222
1201	9094	142234
1202	9102	142225
1203	9109	142212
1204	9117	142207
1205	9124	142197
1206	9131	142181
1207	9138	142164
1208	9145	142150
1209	9153	142139
1210	9160	142121
1211	9166	142098
1212	9173	142085
1213	9181	142077
1214	9188	142064
1215	9195	142042
1216	9202	142033
1217	9209	142013
1218	9216	142004
1219	9224	141989
1220	9230	141967
1221	9237	141950
1222	9245	141947
1223	9252	141938
1224	9259	141921
1225	9266	141902
1226	9273	141886
1227	9281	141879
1228	9288	141867
1229	9297	141874
1230	9304	141860
1231	9312	141865
1232	9320	141858
1233	9327	141848
1234	9335	141842
1235	9344	141854
1236	9352	141855
1237	9360	141853
1238	9367	141848
1239	9375	141849
1240	9385	141864
1241	9392	141862
1242	9400	141860
1243	9409	141874
1244	9417	141869
1245	9425	141863
1246	9433	141860
1247	9441	141857
1248	9449	141868
1249	9457	141862
1250	9465	141860
1251	9473	141865
1252	9483	141889
1253	9491	141885
1254	9499	141886
1255	9507	141884
1256	9516	141892
1257	9523	141885
1258	9531	141878
1259	9539	141874
1260	9546	141872
1261	9554	141865
1262	9562	141861
1263	9569	141853
1264	9578	141857
1265	9586	141851
1266	9593	141844
1267	9601	141837
1268	9609	141836
1269	9617	141839
1270	9625	141842
1271	9633	141835
1272	9641	141840
1273	9650	141842
1274	9657	141837
1275	9665	141832
1276	9674	141839
1277	9682	141849
1278	9690	141845
1279	9698	141840
1280	9706	141833
1281	9715	141848
1282	9723	141850
1283	9731	141847
1284	9738	141839
1285	9747	141851
1286	9755	141838
1287	9762	141835
1288	9770	141827
1289	9778	141829
1290	9785	141815
1291	9793	141804
1292	9800	141795
1293	9807	141783
1294	9817	141804
1295	9826	141812
1296	9834	141812
1297	9842	141815
1298	9850	141815
1299	9858	141809
1300	9866	141808
1301	9875	141815
1302	9882	141807
1303	9890	141797
1304	9897	141783
1305	9904	141767
1306	9911	141763
1307	9918	141746
1308	9925	141726
1309	9932	141708
